Customer ID,avg_days_between,has_multiple_purchases,Recency,Frequency,Monetary,returns,churn
12346.0,6.0,1,123,11,372.86,13,1
12348.0,32.0,0,32,1,222.16,0,1
12349.0,1.7821782178217822,1,1,3,2671.14,5,1
12353.0,2.0,0,2,1,317.76,0,1
12355.0,161.0,0,161,1,488.21000000000004,0,1
12356.0,18.0,0,18,1,910.44,0,0
12358.0,5.323529411764706,1,144,2,1697.93,0,0
12359.0,2.646551724137931,1,19,6,2563.36,4,1
12360.0,2.0681818181818183,1,157,3,780.04,1,0
12361.0,12.166666666666666,1,56,3,321.35,0,1
12362.0,332.0,0,332,1,130.0,0,1
12366.0,227.0,0,227,1,500.24,0,1
12368.0,222.0,0,222,1,917.6999999999999,0,1
12369.0,2.467391304347826,1,7,3,1791.15,0,1
12370.0,1.2941176470588236,1,218,3,774.62,0,1
12371.0,2.2815533980582523,1,3,3,2179.42,0,1
12373.0,1.3611111111111112,1,218,2,763.0500000000001,0,1
12374.0,3.3877551020408165,1,15,3,2246.29,0,1
12376.0,11.0,0,11,1,432.55,0,0
12377.0,183.0,0,183,1,1210.96,0,0
12378.0,156.0,0,156,1,1407.7,0,1
12379.0,2.8,1,16,2,767.98,0,1
12380.0,1.1395348837209303,1,59,7,6951.49,2,0
12387.0,9.0,0,9,1,143.94,0,1
12388.0,3.022222222222222,1,39,2,1120.45,0,1
12389.0,3.52,1,161,2,563.03,0,0
12391.0,1.1,1,58,5,2312.53,6,1
12392.0,185.0,0,185,1,234.75000000000003,0,1
12393.0,22.0,0,22,1,303.8,0,0
12395.0,2.3058823529411763,1,0,3,1702.54,0,0
12396.0,268.0,0,268,1,931.43,0,1
12399.0,3.5714285714285716,1,113,2,539.45,0,0
12400.0,8.0,0,8,1,205.25,0,1
12402.0,4.659574468085107,1,44,4,875.65,1,0
12403.0,115.0,0,115,1,591.6600000000001,0,1
12404.0,276.0,0,276,1,63.24,0,1
12406.0,2.9705882352941178,1,190,2,1629.2,0,0
12408.0,1.88,1,44,2,509.15999999999997,1,0
12409.0,14.0,0,14,4,12346.619999999999,3,1
12410.0,96.0,0,96,1,320.38,0,1
12411.0,3.0,0,3,1,346.9,0,1
12412.0,81.0,0,81,2,1176.79,4,0
12414.0,57.0,0,57,3,390.0,9,1
12415.0,8.0,0,8,5,2978.96,0,0
12416.0,250.0,0,250,1,202.56,0,1
12417.0,1.7921348314606742,1,4,11,3167.81,3,0
12418.0,3.208955223880597,1,7,3,1352.62,1,1
12419.0,7.0,0,7,1,322.91,0,0
12421.0,4.7368421052631575,1,9,2,291.56,1,1
12422.0,2.623931623931624,1,0,13,4058.29,4,0
12423.0,59.0,0,59,1,298.8,0,0
12424.0,2.0491803278688523,1,16,2,1579.07,5,1
12425.0,42.0,0,42,1,964.21,4,1
12426.0,256.0,0,256,1,762.48,5,1
12429.0,1.9090909090909092,1,35,4,2454.01,1,0
12431.0,1.8129032258064517,1,3,12,4012.27,2,0
12433.0,43.0,0,43,2,1126.09,1,0
12435.0,5.531914893617022,1,71,3,3575.2,0,0
12437.0,14.0,0,14,18,6978.58,16,0
12439.0,276.0,0,276,2,1158.18,3,1
12440.0,8.225806451612904,1,56,2,859.2,3,1
12443.0,326.0,0,326,1,485.31,0,1
12445.0,14.0,0,14,1,301.58000000000004,0,0
12449.0,3.111111111111111,1,4,2,768.6,0,1
12450.0,1.4666666666666666,1,45,2,254.02,3,0
12451.0,57.0,0,57,3,3634.36,2,1
12454.0,10.0,0,10,3,9052.48,9,0
12455.0,2.014705882352941,1,39,4,3413.09,0,1
12457.0,29.0,0,29,1,632.68,3,1
12458.0,1.3333333333333333,1,21,2,830.09,0,1
12459.0,199.0,0,199,1,454.36,0,1
12460.0,50.0,0,50,1,326.65,0,1
12466.0,276.0,0,276,1,56.73,0,1
12467.0,17.0,0,17,1,132.8,0,0
12468.0,1.3963963963963963,1,120,3,2941.2,11,1
12469.0,116.0,0,116,2,3070.54,0,1
12470.0,283.0,0,283,1,211.95,0,1
12471.0,16.0,0,16,43,16228.74,82,0
12472.0,29.0,0,29,11,8383.59,72,0
12474.0,1.076271186440678,1,2,11,4142.98,14,0
12475.0,3.0,0,3,1,426.26,0,1
12476.0,10.0,0,10,8,4487.4,2,0
12477.0,119.0,0,119,2,4485.86,0,0
12480.0,1.234375,1,21,2,1464.05,3,0
12481.0,1.4338235294117647,1,4,4,5766.83,3,0
12482.0,170.0,0,170,29,23691.4,3,1
12483.0,4.9375,1,30,8,1885.9,3,0
12484.0,1.53125,1,77,6,1828.43,5,1
12485.0,123.0,0,123,1,708.1,0,1
12486.0,25.0,0,25,1,1037.28,0,1
12487.0,324.0,0,324,1,285.29999999999995,1,1
12490.0,1.6117021276595744,1,26,10,3864.05,1,0
12494.0,5.466666666666667,1,5,2,569.17,2,0
12495.0,234.0,0,234,1,357.4,2,1
12496.0,214.0,0,214,2,54.09,0,1
12497.0,238.0,0,238,1,1211.76,1,0
12499.0,154.0,0,154,1,393.72,0,1
12500.0,2.7976190476190474,1,29,8,1697.39,6,1
12503.0,178.0,0,178,1,1126.0,0,1
12504.0,17.9,1,11,2,297.0,0,1
12505.0,2.0,0,2,1,955.2,0,0
12507.0,178.0,0,178,1,539.25,0,1
12510.0,2.4594594594594597,1,53,7,4195.45,9,1
12511.0,22.0,0,22,1,3084.02,4,1
12514.0,235.0,0,235,1,580.08,0,1
12516.0,3.574468085106383,1,24,2,1336.56,0,1
12519.0,70.0,0,70,1,385.7,2,1
12523.0,2.3208955223880596,1,9,10,2457.05,11,0
12524.0,2.898876404494382,1,3,8,5874.49,2,0
12525.0,2.5084745762711864,1,92,3,973.73,17,1
12527.0,2.6153846153846154,1,88,2,386.8,0,1
12529.0,122.0,0,122,1,316.48,2,1
12530.0,2.4725274725274726,1,9,5,2096.98,2,1
12531.0,280.0,0,280,1,1807.98,6,1
12533.0,1.5492957746478873,1,221,2,1367.89,18,1
12537.0,2.0,0,2,1,732.94,0,1
12539.0,1.1521739130434783,1,44,3,5646.400000000001,0,1
12540.0,1.1520912547528517,1,16,14,7761.25,1,0
12542.0,4.105263157894737,1,78,2,481.88,6,1
12543.0,42.0,0,42,1,980.25,0,1
12547.0,94.0,0,94,1,175.78,0,1
12549.0,2.5,1,169,6,1575.68,0,1
12553.0,17.0,0,17,1,537.99,1,0
12554.0,42.0,0,42,1,468.5,0,1
12555.0,276.0,0,276,1,129.23,0,1
12557.0,15.210526315789474,1,26,3,6105.18,0,0
12562.0,29.0,0,29,1,426.0,0,0
12563.0,2.0,0,2,1,249.24,0,1
12567.0,1.923913043478261,1,81,4,1976.9,2,0
12568.0,238.0,0,238,1,70.0,0,1
12570.0,276.0,0,276,1,77.52,0,1
12573.0,1.4814814814814814,1,18,2,317.48,0,0
12575.0,1.864864864864865,1,51,2,622.8199999999999,0,1
12576.0,2.0303030303030303,1,52,2,555.62,4,0
12577.0,4.075,1,3,3,667.42,0,0
12578.0,37.0,0,37,1,1011.86,3,0
12580.0,170.0,0,170,1,637.2,0,1
12582.0,1.9375,1,16,2,1469.04,0,1
12583.0,1.736842105263158,1,26,10,5211.95,1,0
12586.0,6.285714285714286,1,8,2,1049.4,0,0
12588.0,191.0,0,191,1,328.9,2,0
12589.0,1.8541666666666667,1,15,6,4048.98,32,1
12591.0,2.0,0,2,1,698.15,0,0
12592.0,113.0,0,113,3,2145.06,3,1
12594.0,3.634920634920635,1,10,4,1456.69,0,0
12595.0,98.0,0,98,1,299.02,0,1
12598.0,2.5205479452054793,1,57,3,1511.01,4,1
12599.0,3.1020408163265305,1,17,4,900.86,0,0
12600.0,5.381818181818182,1,26,9,1956.73,7,0
12605.0,17.0,0,17,2,758.91,0,0
12606.0,276.0,0,276,1,21.0,0,1
12609.0,3.1797752808988764,1,28,5,1856.46,1,0
12613.0,1.6333333333333333,1,73,4,3040.55,10,0
12615.0,1.3231707317073171,1,7,4,3449.79,8,1
12619.0,154.0,0,154,1,140.14,0,1
12621.0,1.0822510822510822,1,7,12,7773.22,8,0
12623.0,1.793548387096774,1,10,6,3442.7400000000002,2,1
12625.0,103.0,0,103,2,2481.06,0,1
12629.0,17.0,0,17,1,704.36,0,0
12631.0,1.5629139072847682,1,50,5,2841.07,3,1
12632.0,1.2941176470588236,1,114,2,804.88,3,1
12633.0,84.0,0,84,2,2905.48,5,0
12634.0,129.0,0,129,2,490.0,0,1
12635.0,50.0,0,50,1,731.33,0,0
12636.0,332.0,0,332,1,141.0,0,1
12637.0,94.0,0,94,2,913.79,0,0
12638.0,233.0,0,233,1,249.8,0,1
12639.0,4.7073170731707314,1,28,2,826.27,0,1
12643.0,10.210526315789474,1,9,5,3180.7000000000003,4,0
12644.0,3.329113924050633,1,24,3,1440.58,12,1
12645.0,2.988372093023256,1,3,4,1764.12,2,1
12647.0,17.0,0,17,22,12027.63,12,0
12648.0,6.116279069767442,1,31,3,793.95,1,1
12649.0,4.5,1,17,4,1175.3999999999999,2,0
12651.0,4.833333333333333,1,0,2,164.45,0,0
12652.0,28.0,0,28,1,97.05000000000001,0,1
12653.0,120.0,0,120,1,1950.98,0,1
12655.0,17.0,0,17,1,261.35,0,1
12656.0,1.1333333333333333,1,19,3,2356.66,2,1
12661.0,30.0,0,30,1,162.0,0,1
12662.0,1.3174603174603174,1,42,7,2287.07,0,0
12663.0,4.777777777777778,1,218,2,239.4,1,1
12664.0,30.285714285714285,1,108,2,1188.16,0,1
12665.0,19.307692307692307,1,11,2,250.6,3,1
12668.0,23.0,0,23,5,6465.15,0,0
12670.0,260.0,0,260,1,225.60000000000002,0,0
12671.0,200.0,0,200,1,2622.481,0,1
12672.0,189.0,0,189,1,211.15,3,1
12675.0,147.0,0,147,2,958.5,2,1
12676.0,1.2131147540983607,1,2,5,1511.7,1,1
12677.0,5.55,1,149,2,395.1,2,1
12678.0,1.365,1,18,8,15836.25,3,0
12681.0,16.0,0,16,19,12029.15,17,0
12682.0,18.0,0,18,19,9313.13,3,0
12683.0,1.880281690140845,1,50,6,3157.13,2,0
12687.0,74.0,0,74,2,2138.91,0,1
12691.0,14.0,0,14,1,134.6,0,1
12692.0,231.0,0,231,1,110.95,0,1
12693.0,1.8918918918918919,1,46,2,737.3100000000001,2,0
12694.0,15.0,0,15,1,973.68,1,1
12695.0,4.419354838709677,1,122,3,825.02,0,1
12696.0,1.5416666666666667,1,28,2,851.91,1,1
12698.0,184.0,0,184,1,339.75,0,1
12699.0,11.0,0,11,1,638.11,0,1
12701.0,1.096774193548387,1,123,4,1648.7,0,1
12703.0,227.0,0,227,3,722.98,9,1
12705.0,0.0,0,0,3,4065.66,4,0
12708.0,2.2869565217391306,1,50,7,2007.6000000000001,5,0
12709.0,1.102189781021898,1,14,17,19891.6,33,0
12711.0,1.1016949152542372,1,205,2,1339.05,0,1
12712.0,2.725663716814159,1,14,7,2066.76,8,0
12714.0,50.0,0,50,6,7832.62,0,0
12717.0,184.0,0,184,1,277.93,0,1
12720.0,5.0,0,5,5,2005.55,15,0
12721.0,65.0,0,65,1,751.55,9,0
12724.0,99.0,0,99,2,973.56,0,0
12725.0,2.0864197530864197,1,8,3,1838.96,0,0
12726.0,4.571428571428571,1,25,3,1094.34,0,0
12727.0,3.3492063492063493,1,36,3,1698.8300000000002,0,1
12730.0,115.0,0,115,1,829.25,0,1
12731.0,1.7203389830508475,1,36,5,6879.8,0,1
12733.0,2.0210526315789474,1,91,2,1638.32,5,0
12737.0,92.0,0,92,2,3710.5,0,1
12741.0,123.0,0,123,2,406.07,0,1
12742.0,219.0,0,219,1,1201.52,1,1
12744.0,1.1293103448275863,1,53,4,4037.77,0,1
12745.0,8.863636363636363,1,80,3,925.41,0,1
12746.0,134.0,0,134,1,254.55,3,1
12747.0,2.1870503597122304,1,18,14,4327.22,7,0
12748.0,4.0,0,4,101,16230.63,28,0
12749.0,19.0,0,19,2,2031.72,20,0
12751.0,38.0,0,38,1,268.27,0,1
12755.0,3.381818181818182,1,98,6,1400.71,48,0
12758.0,1.2930232558139534,1,53,5,7111.650000000001,4,1
12759.0,1.783132530120482,1,31,4,2802.51,0,0
12760.0,49.0,0,49,1,347.8,0,1
12761.0,51.0,0,51,2,782.95,0,1
12765.0,2.4925373134328357,1,66,6,1404.58,0,1
12766.0,1.0,0,1,1,874.36,0,0
12768.0,44.0,0,44,1,168.69000000000003,10,1
12770.0,50.0,0,50,1,1895.0,7,0
12771.0,79.0,0,79,1,282.3,1,1
12773.0,158.0,0,158,1,124.25,6,1
12774.0,129.0,0,129,1,98.7,0,1
12775.0,3.0,0,3,1,172.12,0,0
12776.0,261.0,0,261,1,55.5,0,1
12777.0,51.0,0,51,1,519.45,0,1
12778.0,3.871794871794872,1,45,2,556.01,0,0
12779.0,3.1724137931034484,1,53,5,1942.8799999999999,7,0
12780.0,192.0,0,192,1,337.4,0,1
12782.0,1.1071428571428572,1,18,4,1511.9,10,0
12784.0,123.0,0,123,1,1230.33,0,1
12785.0,4.7560975609756095,1,129,2,788.45,1,1
12786.0,203.0,0,203,1,728.5,0,1
12787.0,7.0,0,7,1,398.52,1,1
12788.0,2.56,1,57,4,444.9,0,1
12789.0,60.333333333333336,1,106,2,181.5,0,1
12790.0,4.0,0,4,1,266.93,3,1
12791.0,194.0,0,194,4,555.11,2,0
12792.0,128.0,0,128,1,426.47,1,1
12796.0,222.0,0,222,1,381.0,0,1
12797.0,18.0,0,18,1,298.05,1,0
12798.0,15.0,0,15,1,1533.8899999999999,0,1
12799.0,123.0,0,123,1,219.35,0,1
12800.0,6.242424242424242,1,64,3,584.25,0,1
12801.0,94.0,0,94,1,1071.82,1,1
12802.0,1.0714285714285714,1,36,6,1988.84,1,1
12804.0,59.0,0,59,2,327.02,0,1
12805.0,5.514285714285714,1,75,3,991.35,0,0
12806.0,2.303030303030303,1,29,4,2878.96,0,1
12808.0,1.5,1,29,2,293.05,0,0
12809.0,1.4727272727272727,1,159,2,1266.63,7,1
12810.0,4.580645161290323,1,128,2,534.99,0,1
12811.0,21.0,0,21,1,282.95,0,0
12813.0,4.318181818181818,1,95,3,1687.8,0,1
12817.0,28.0,0,28,1,195.60000000000002,0,0
12819.0,52.0,0,52,1,540.52,0,1
12820.0,3.561797752808989,1,8,6,1568.6299999999999,3,0
12821.0,205.0,0,205,1,128.07999999999998,0,1
12823.0,23.666666666666668,1,57,10,2829.5,0,0
12825.0,5.217391304347826,1,115,2,518.63,0,1
12826.0,5.017241379310345,1,23,4,1201.03,2,0
12829.0,144.0,0,144,1,92.30000000000001,0,1
12831.0,57.0,0,57,2,236.06,0,1
12835.0,21.0,0,21,41,6043.31,10,1
12836.0,1.664835164835165,1,24,10,3331.36,4,0
12837.0,163.0,0,163,1,554.31,0,1
12838.0,0.0,0,0,7,2109.66,2,0
12839.0,1.5226130653266332,1,19,10,3202.52,8,0
12840.0,3.806451612903226,1,31,3,1315.2,2,1
12841.0,4.0,0,4,9,1617.54,1,0
12842.0,331.0,0,331,1,397.20000000000005,0,0
12843.0,2.9245283018867925,1,3,18,4308.6,4,0
12844.0,3.02,1,36,2,322.64,0,1
12846.0,276.0,0,276,1,15.58,0,1
